Club Name,Description
Android Club,"Technical club for mobile app development, Java, Kotlin, XML, and smartphone applications."
Linux Club,"Focuses on open-source software, shell scripting, Linux terminal, and operating systems."
Robotics Club,"Hands-on projects with Arduino, Raspberry Pi, sensors, robots, and embedded systems hardware."
Virtual Reality & Gaming Club,"Esports, Valorant, 3D modeling, Blender, VR, AR, and gaming technology."
Software Development Club,"Backend engineering, full-stack, Java, Spring Boot, and web development projects."
VITronix Club,"Electronics, circuit design, VLSI, hardware, microcontrollers, and electrical engineering."
Music & Band Club,"Cultural club for instruments, singing, vocals, guitar, drums, and live music performances."
Fine Arts Club,"Digital art, sketching, painting, drawing, and creative visual design."
Android App Club,"Mobile application development, Java, Kotlin, XML, Android Studio, and smartphone software."
Linux & Open Source,"Operating systems, Ubuntu, Debian, shell scripting, terminal, kernel, and open-source software."
Robotics & Automation,"Hardware, Arduino, Raspberry Pi, sensors, robots, bots, mechatronics, and embedded systems."
Gaming & Esports,"Competitive gaming, Valorant, CSGO, League of Legends, tournaments, and gaming hardware."
3D Modeling & Design,"Blender, Maya, 3D printing, digital sculpting, character design, and animation."
Software Engineering,"Backend development, full-stack, Java, Spring Boot, API, databases, and web architecture."
Electronics & VLSI,"Circuit design, microprocessors, electrical engineering, PCB, hardware, and sensors."
Competitive Coding,"Data structures, algorithms, LeetCode, C++, Python, and technical interview prep."
AI & Machine Learning,"Data science, neural networks, deep learning, Python, research, and intelligent systems."
Music & Jamming,"Instruments, singing, vocals, guitar, drums, piano, band, and live musical performances."
Dance & Choreography,"Hip-hop, classical, contemporary, dance moves, stage performance, and cultural fests."
Photography & Film,"Cameras, video editing, cinematography, vlogging, YouTube, and digital media."
Fine Arts & Sketching,"Drawing, painting, digital art, illustration, creative design, and sketching."
Dramatics & Theater,"Acting, plays, drama, stage performance, scriptwriting, and public speaking."
Debate & MUN,"Public speaking, politics, international relations, debating, logic, and communication."
Business & Startups,"Entrepreneurship, marketing, finance, management, startups, and pitch decks."
Anime & Manga,"Japanese culture, animation, comics, drawing anime, and Otaku community."
Astronomy & Space,"Stars, planets, telescopes, astrophysics, space exploration, and NASA research."
Fitness & Gym,"Weightlifting, bodybuilding, health, nutrition, workout, and physical training."
Social Service,"Volunteering, charity, helping society, environment, and community service."
Literary & Poetry,"Writing, books, reading, poetry, storytelling, and creative writing."
Chess & Board Games,"Strategic games, mind sports, chess tournaments, and logical thinking."
Fashion & Styling,"Modeling, clothing design, trends, makeup art, and fashion shows."
Cybersecurity,"Ethical hacking, network security, privacy, encryption, and digital forensics."
Finance & Trading,"Stock market, crypto, investing, personal finance, and economics."
